"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:40:02 BDT 2022","Wed Dec 14 11:40:10 BDT 2022","7845","","Test Case 1: Register User","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:40:55 BDT 2022","Wed Dec 14 11:41:16 BDT 2022","21336","","Test Case 21: Add review on product","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:40:12 BDT 2022","Wed Dec 14 11:40:13 BDT 2022","731","","Test Case 1: Register User","","","","Enter name and email address",""
"passed","Wed Dec 14 11:38:33 BDT 2022","Wed Dec 14 11:38:35 BDT 2022","2238",""," Test Case 13: Verify Product quantity in Cart ","","","","Increase quantity to 4 ",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","6",""," Test Case 14: Place Order: Register while Checkout ","","","","Verify 'ACCOUNT DELETED!' and click 'Continue' button ",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","11","","Test Case 24: Download Invoice after purchase order","","","","Enter payment details: Name on Card, Card Number, CVC, Expiration date",""
"failed","Wed Dec 14 11:42:28 BDT 2022","Wed Dec 14 11:42:29 BDT 2022","1090","","Test Case 24: Download Invoice after purchase order","","","","Verify 'ACCOUNT CREATED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:40:10 BDT 2022","Wed Dec 14 11:40:11 BDT 2022","865","","Test Case 1: Register User","","",""," Verify that home page is visible successfully ",""
"passed","Wed Dec 14 11:43:03 BDT 2022","Wed Dec 14 11:43:04 BDT 2022","752","","Test Case 2: Login User with correct email and password","","","","Enter correct email address and password",""
"passed","Wed Dec 14 11:39:59 BDT 2022","Wed Dec 14 11:40:01 BDT 2022","2004","","Test Case 19: View & Cart Brand Products","","","","On left side bar, click on any other brand link",""
"failed","Wed Dec 14 11:44:00 BDT 2022","Wed Dec 14 11:44:03 BDT 2022","3125","","Test Case 4: Logout User","","","","Verify that 'Logged in as username' is visible",""
